@USER @USER Yeah he is	NOT	@USER @USER Yeah he is
@USER Antifa I guess	NOT	@USER Antifa I guess
@USER He really bisca fool huh	OFF	@USER He really bisca fool huh
@USER America is better than swamp crud like YOU !	OFF	@USER America is better than swamp crud like YOU!
@USER Conservatives , if you are not a gun " person , I believe you need to become one . If these Nov . elections don't go well for the Dishonest Dems , I think the violence will get worse . All Conservatives will need to be able to defend themselves and their loved ones . "	OFF	@USER Conservatives, if you are not a gun" person, I believe you need to become one. If these Nov. elections don't go well for the Dishonest Dems, I think the violence will get worse. All Conservatives will need to be able to defend themselves and their loved ones."
5/5 Canada has regulated firearms since the last quarter of the 19th century . Those laws have probably contributed to Canada having only 1% as many handguns in circulation as in the US . URL	NOT	5/5 Canada has regulated firearms since the last quarter of the 19th century. Those laws have probably contributed to Canada having only 1% as many handguns in circulation as in the US.  URL
@USER @USER I hate @USER so much now . They fucked up the whole franchise .	OFF	@USER @USER I hate @USER so much now. They fucked up the whole franchise.
@USER Liberals will blame the NRA before they blame the lunatic that ended the life of 3 innocent individuals .	NOT	@USER Liberals will blame the NRA before they blame the lunatic that ended the life of 3 innocent individuals.
@USER Nah Antifa are good to get killed	OFF	@USER Nah Antifa are good to get killed
@USER @USER What do you expect from a man that claims He is the Christ Vicariously He's a liar and the leader of liar's serving his father the author of all lies .	OFF	@USER @USER What do you expect from a man that claims He is the Christ Vicariously He's a liar and the leader of liar's serving his father the author of all lies.
#realDonaldTrump You've been rather quiet today . I hope that you have spent some time thinking about your endgame with Vlad . I know you probably know this but you are very expendable to him . When we take the country back what will you do ? He will not be happy with you ! Ponder this	NOT	#realDonaldTrump You've been rather quiet today. I hope that you have spent some time thinking about your endgame with Vlad. I know you probably know this but you are very expendable to him. When we take the country back what will you do?He will not be happy with you! Ponder this
. @USER : 7 Myths of Democratic Socialism Debunked URL #MAGA #KAG	OFF	.@USER : 7 Myths of Democratic Socialism Debunked  URL  #MAGA #KAG
The #Child - #Rape Assembly Line URL via @USER We cannot #trust a #Catholic #priest . We cannot trust a #Jewish #rabbi - Why do we let these #people have #secrets ? #GreatAwakening #MAGA @USER	OFF	The #Child-#Rape Assembly Line URL via @USER We cannot #trust a #Catholic #priest. We cannot trust a #Jewish #rabbi - Why do we let these #people have #secrets?  #GreatAwakening #MAGA @USER
@USER What What In The Butt	OFF	@USER What What In The Butt
@USER This woman is going to be so rich .. she is already a hero to half the country and 90% of the media and acedemia because she might stop Trump from giving the court a conservative majority .	NOT	@USER This woman is going to be so rich .. she is already a hero to half the country and 90% of the media and acedemia because she might stop Trump from giving the court a conservative majority .
@USER @USER What in the wide world of sports is go’in on here ? Pansies .	NOT	@USER @USER What in the wide world of sports is go’in on here? Pansies.
@USER You were made a fooln of last night by Kavanaugh so like a spiteful child seeking attention youngo on your wide eyed rant . You are an embarrassment to the chamber and this country	OFF	@USER You were made a fooln of last night by Kavanaugh so like a spiteful child seeking attention youngo on your wide eyed rant. You are an embarrassment to the chamber and this country
@USER @USER here is a guy who was invited to speak at a McCain funeral . #NeverTrump ers are as sick as #AntiFA @USER @USER	NOT	@USER @USER here is a guy who was invited to speak at a McCain funeral.  #NeverTrump ers are as sick as #AntiFA  @USER    @USER
@USER What happened to Flash ? I hope he is healthy	NOT	@USER What happened to Flash? I hope he is healthy
@USER @USER Tucker Carlson is not an idiot . He knows exactly what he is doing . That makes him malicious .	NOT	@USER @USER Tucker Carlson is not an idiot.  He knows exactly what he is doing.  That makes him malicious.
@USER 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 THAT SUMS UP THE STATE OF LIBERALS	NOT	@USER  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣 THAT SUMS UP THE STATE OF LIBERALS
@USER @USER @USER Sure . Whatever you say random dude . Last time I checked having a negative opinion of a media company doesn’t make you Antifa . But congratulations on dumbest fucking thing I’ve heard today 👍	NOT	@USER @USER @USER Sure. Whatever you say random dude. Last time I checked having a negative opinion of a media company doesn’t make you Antifa. But congratulations on dumbest fucking thing I’ve heard today 👍
@USER No she hasn't . What reform " ? She is getting Trump to free particular famous people , in exchange for attention . The policies are worse now . "	NOT	@USER No she hasn't. What reform"? She is getting Trump to free particular famous people, in exchange for attention. The policies are worse now."
@USER @USER Phil is right socialists are the new fascists like antifa . Thanks to soros	NOT	@USER @USER Phil is right socialists are the new fascists like antifa. Thanks to soros
@USER And this traitor thinks he is ?	OFF	@USER And this traitor thinks he is?
@USER @USER @USER This leftist is what is wrong in liberal colleges . More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts . @USER @USER @USER	OFF	@USER @USER @USER This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @USER  @USER  @USER
@USER @USER @USER I'd point out he is an Australian and we don't have free speech like in the US . And we do have hate speech laws which people have been convicted under . This is skirts it enough to hint and point out but room to deny .	OFF	@USER @USER @USER I'd point out he is an Australian and we don't have free speech like in the US. And we do have hate speech laws which people have been convicted under. This is skirts it enough to hint and point out but room to deny.
@USER 9 times out of 10 I have the dog on my lap and if I get to rowdy he gets scared that I am hurt then he trys to kiss me . Also he is a ham so when the camera comes out he is like pictures ?! Let me be in them . He photo bombs whenever possible . 😂 😂 🐶	NOT	@USER 9 times out of 10 I have the dog on my lap and if I get to rowdy he gets scared that I am hurt then he trys to kiss me.Also he is a ham so when the camera comes out he is like pictures?!Let me be in them.He photo bombs whenever possible. 😂  😂  🐶
@USER As she should be .	NOT	@USER As she should be.
@USER What if the law is reasonable gun control ?	NOT	@USER What if the law is reasonable gun control?
@USER @USER Hi there ! We love what a huge fan of Camila Mendes you are ! Would it be alright if we used your tweet about her in our promotional material ?	NOT	@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?
this cant be legal ... Right ? #KAG #MAGA URL	NOT	this cant be legal ... Right? #KAG #MAGA URL
@USER You do what you need to do . You are an amazing person . Who cares what others think .	NOT	@USER You do what you need to do. You are an amazing person. Who cares what others think.
@USER He is a DUMBASS !!!!!	OFF	@USER He is a DUMBASS !!!!!
@USER They had sex he kicked to the curb . Melania in the white house she is still on the pole . Big memoir	NOT	@USER They had sex he kicked to the curb. Melania in the white house she is still on the pole. Big memoir
@USER Ahhh how the left punishes it’s soldiers . Today is your last day=don’t forget your 6 million dollar goodbye check . Thanks for supporting the cause .	NOT	@USER Ahhh how the left punishes it’s soldiers. Today is your last day=don’t forget your 6 million dollar goodbye check. Thanks for supporting the cause.
@USER @USER Who is the ring leader of the brain dead sheep . Time to turn it back on him .	OFF	@USER @USER Who is the ring leader of the brain dead sheep. Time to turn it back on him.
@USER He will get what he deserves in the Mens prison ........	NOT	@USER He will get what he deserves in the Mens prison........
@USER State Sponsored Kids Protesting the 2nd Amendment ? Youth invasion of D.C. took place as young fascists-in-training were corralled into D.C. to demand that govt strip away the liberties of all in the name of gun control URL '	OFF	@USER  State Sponsored Kids Protesting the 2nd Amendment?  Youth invasion of D.C. took place as young fascists-in-training were corralled into D.C. to demand that govt strip away the liberties of all in the name of gun control  URL  '
@USER Thanks for Following . We're glad to be connected .	NOT	@USER Thanks for Following. We're glad to be connected.
@USER @USER It is troubling to me that the top 2 Trump haters are Diane Feinstein & Dick Schumer . The Jewish hatred for this country & Conservatives & Israel is palpable . I am embarrassed by them .	NOT	@USER @USER It is troubling to me that the top 2 Trump haters are Diane Feinstein &amp; Dick Schumer. The Jewish hatred for this country &amp; Conservatives &amp; Israel  is palpable. I am embarrassed by them.
@USER Be quiet SheDevil URL	OFF	@USER Be quiet SheDevil URL
@USER WHAT THE FUCK	OFF	@USER WHAT THE FUCK
@USER @USER @USER You must like the antifa style guy . You don't know what a decent moral man looks like .	NOT	@USER @USER @USER You must like the antifa style guy.  You don't know what a decent moral man looks like.
@USER @USER @USER Conservatives are whining " . There , I fixed the typo for you . "	OFF	@USER @USER @USER Conservatives are whining". There, I fixed the typo for you."
@USER Her house in CA 👀 👋 👋 👋 👋	NOT	@USER Her house in CA  👀  👋  👋  👋  👋
@USER Amputees ' limbs have grown back in his presence ! I guess he'll do it until they cart him off in a strait jacket .	NOT	@USER Amputees' limbs have grown back in his presence! I guess he'll do it until they cart him off in a strait jacket.
@USER I bet they all have ' fitted ' waists . Because women are meant to look ' hourglass ' even when they don't give a shit .	OFF	@USER I bet they all have 'fitted' waists. Because women are meant to look 'hourglass' even when they don't give a shit.
@USER @USER @USER Not progressive at all Article II , section 1 of the Constitution 1790 says he is a citizen and 44 years as a resident of Texas says he can say y'all ""	NOT	@USER @USER @USER Not progressive at all Article II, section 1 of the Constitution 1790 says he is a citizen and 44 years as a resident of Texas says he can say y'all""
@USER Google stock wayyy up . Whats so bad with your Trump world #Google ?	NOT	@USER Google stock wayyy up. Whats so bad with your Trump world #Google?
@USER The woman is not accusing Kavanaugh of stealing her lunch money . She is accusing him of assault . He needs to take responsibility .	NOT	@USER The woman is not accusing Kavanaugh of stealing her lunch money. She is accusing him of assault. He needs to take responsibility.
@USER Hi has me energized . @USER He is such an idiot ! I can’t believe he “ surfaced ” again .	NOT	@USER Hi has me energized.  @USER  He is such an idiot!  I can’t believe he “surfaced” again.
@USER @USER Awesome ! Every antifa should go through this Initiation " 😜 "	NOT	@USER @USER Awesome! Every antifa should go through this Initiation"😜"
@USER @USER @USER Yes you are correct and I don’t get what they see in him either . I’m just thankful he’s no longer in office .	NOT	@USER @USER @USER Yes you are correct and I don’t get what they see in him either. I’m just thankful he’s no longer in office.
@USER Can anyone say “ washed up actor trying to stay relevant ? ” !	NOT	@USER Can anyone say “washed up actor trying to stay relevant?”!
@USER @USER Shit come on unc !	NOT	@USER @USER Shit come on unc!
@USER @USER Liberals makes America Sicker	OFF	@USER @USER Liberals makes America  Sicker
@USER You still have not addressed your solution to make schools safer .... you just preach more gun control ... what are your solutions ???	OFF	@USER You still have not addressed your solution to make schools safer....you just preach more gun control...what are your solutions???
@USER @USER Corrupt RHINO . Glad he stepped down	OFF	@USER @USER Corrupt RHINO. Glad he stepped down
@USER This is all you need to know about Liberals ! He represents his party well !	NOT	@USER This is all you need to know about Liberals! He represents his party well!
@USER @USER Both sides are ANTIFA ... KKK ... Gotta stop	NOT	@USER @USER Both sides are ANTIFA...KKK...  Gotta stop
@USER @USER They've been trying . A couple of veterans happened 2 b assaulted by ANTIFA . Wrong !! They were surprised ! Fight kinda broke up the protesting 😲	NOT	@USER @USER They've been trying. A couple of veterans happened 2 b assaulted by ANTIFA. Wrong!! They were surprised! Fight kinda broke up the protesting 😲
@USER @USER My sister is in G’ville . Says she is going to text you	NOT	@USER @USER My sister is in G’ville. Says she is going to text you
@USER His jewels have their own gravitational field ! 🛸	NOT	@USER His jewels have their own gravitational field! 🛸
@USER Why does it matter if a candidate is a woman or a man ? I thought we were all the same ? Everything the liberals believe in contradicts their other beliefs 😂	NOT	@USER Why does it matter if a candidate is a woman or a man? I thought we were all the same? Everything the liberals believe in contradicts their other beliefs 😂
@USER Amen . He is .	NOT	@USER Amen. He is.
@USER she is idk what's going on	NOT	@USER she is idk what's going on
@USER @USER What if she is saying lies ? Were you present ?	NOT	@USER @USER What if she is saying lies? Were you present?
@USER Her brain is still somewhere lost in The Matrix ... Then again Liberals are just plain delusional no matter what . 👊 URL	OFF	@USER Her brain is still somewhere lost in The Matrix... Then again Liberals are just plain delusional no matter what. 👊 URL
@USER I knew he will b dead 🤣 🤣 He is brave 🤣 🤣 🤣	OFF	@USER I knew he will b dead  🤣  🤣 He is brave  🤣  🤣  🤣
.. this woman has nothing but play tennis and yet she is constantly being disrespectful it’s insane . the whole all owes her an apology atp URL	OFF	.. this woman has nothing but play tennis and yet she is constantly being disrespectful it’s insane. the whole all owes her an apology atp URL
@USER Look in the mirror lefties ! No bigger bullies than antifa and progressive leftist trying to “ get in the faces ” of the right	OFF	@USER Look in the mirror lefties!  No bigger bullies than antifa and progressive leftist trying to “get in the faces” of the right
@USER @USER @USER * Extremistische Idee	NOT	@USER @USER @USER *Extremistische Idee
@USER He too is afraid his backstabbing deeds will be discovered and made public undermining the entire farce of the Obama administration	OFF	@USER He too is afraid his backstabbing deeds will be discovered and made public undermining the entire farce of the Obama administration
@USER @USER @USER @USER @USER @USER @USER Don't shame your entire country .. You are not mad !	NOT	@USER @USER @USER @USER @USER @USER @USER Don't shame your entire country.. You are not mad!
@USER Get away from these lying toxic people !	OFF	@USER Get away from these lying toxic people!
@USER A disaster waiting to happen .	NOT	@USER A disaster waiting to happen.
@USER @USER @USER watch it again . For crying out loud he is talking about Joe within the first few minutes .	NOT	@USER @USER @USER watch it again. For crying out loud he is talking about Joe within the first few minutes.
@USER Did you see Shanahan say Spoon was not 100% healthy this game ? Obviously no excuses if you’re out there BUT maybe it’s not the “ all is doom ” sort of thing it seemed during the game . Maybe he is still pretty good .	NOT	@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.
@USER tell that to him . He is very perfectionist . I don’t think we will change that ever 😅	NOT	@USER tell that to him. He is very perfectionist. I don’t think we will change that ever 😅
@USER @USER does that mean He still our #superman ? Pleaseeeeee say he is 🙏 🏼 🙏 🏼 🙏 🏼 🙏 🏼	NOT	@USER @USER does that mean He still our #superman ? Pleaseeeeee say he is  🙏  🏼  🙏  🏼  🙏  🏼  🙏  🏼
@USER @USER @USER 2bn is notong term that shud b annually .	NOT	@USER @USER @USER 2bn is notong term that shud b annually.
@USER you ignorant fool how did you become ag . I forgot it was ignorant Obama . Its not current occupier of white house . Learn from me ignorant idiot He is the President of United states . If you think he is not your President then leave this country and go to hell .	OFF	@USER you ignorant fool how did you become ag. I forgot it was ignorant Obama. Its not current occupier of white house. Learn from me ignorant idiot He is the President of United states. If you think he is not your President then leave this country and go to hell.
@USER @USER I don't believe an Elk could grip a rifle even if it could purchase one . Although you would probably want sensible gun control laws " on anything the Elk could purchase to defend itself . Sad . "	NOT	@USER @USER I don't believe an Elk could grip a rifle even if it could purchase one.  Although you would probably want sensible gun control laws" on anything the Elk could purchase to defend itself.  Sad."
@USER Says the man with 18% favorability and won't win so he is retiring ! 🤣	NOT	@USER Says the man with 18% favorability and won't win so he is retiring! 🤣
@USER He wants in the White House ! URL	NOT	@USER He wants in the White House! URL
@USER Yes !!! Love it ! You are gold ! 🙏 🏻 ❤ ️ 🙏 🏻	NOT	@USER Yes!!! Love it! You are gold!  🙏  🏻  ❤ ️ 🙏  🏻
@USER Did Gutierrez go help ? Or is he just a blow heart	NOT	@USER Did Gutierrez go help? Or is he just a blow heart
@USER Oh this is gonna get some Antifa idiots shot so fast ... 😂 😂 they don't even realize gun owners are usually really aware of what's going on around them .	OFF	@USER Oh this is gonna get some Antifa idiots shot so fast...   😂  😂 they don't even realize gun owners are usually really aware of what's going on around them.
. @USER found " the average american by demographics . I found 118 things that the Average American agrees on , from Bill Gates to Gun Control to driving skills . URL URL	NOT	.@USER found" the average american by demographics. I found 118 things that the Average American agrees on, from Bill Gates to Gun Control to driving skills.  URL URL
@USER He is desperate to get into the White House so he can shut down any investigations that go straight to Obama and Biden .	NOT	@USER He is desperate to get into the White House so he can shut down any investigations that go straight to Obama and Biden.
@USER @USER @USER @USER You are an amazing organizer 👏 🏾	NOT	@USER @USER @USER @USER You are an amazing organizer  👏  🏾
@USER He was all about bashing the Iraq war but when faced with the binary choice he is pretty proud of supporting that same status quo vigorously . I don't get it either .	NOT	@USER He was all about bashing the Iraq war but when faced with the binary choice he is pretty proud of supporting that same status quo vigorously. I don't get it either.
@USER They been had open world spider man games tho . We need a avengers game with all of them niggas	OFF	@USER They been had open world spider man games tho. We need a avengers game with all of them niggas
@USER Antifa girl of the month centrefold !	NOT	@USER Antifa girl of the month centrefold!
@USER The far left antifa are the real fash . cowards that hide behind masks and attack anyone who has a diff opinion they even confront not only the old and the vulnerable but children as well	NOT	@USER The far left antifa are the real fash .cowards that hide behind masks and attack anyone who has a diff opinion they even confront not only the old and the vulnerable but children as well
@USER I can't believe he is still on the radio .	NOT	@USER I can't believe he is still on the radio.
@USER @USER @USER Please stop ! You're making it TOO EASY for right-wing conservatards to mock those of us on the Left ! #NotHelping	OFF	@USER @USER @USER Please stop! You're making it TOO EASY for right-wing conservatards to mock those of us on the Left! #NotHelping
@USER Happening to Lecor and I where our frame rate is down by a decent amount and frame drops	NOT	@USER Happening to Lecor and I where our frame rate is down by a decent amount and frame drops
@USER Then HAUL YOUR FAT ASS IN HARMS WAY YOU DRUGGIE !!!	OFF	@USER Then HAUL YOUR FAT ASS IN HARMS WAY YOU DRUGGIE!!!
@USER God help us	NOT	@USER God help us
@USER He is so underrated and I love how pure he is as a person	NOT	@USER He is so underrated and I love how pure he is as a person
@USER @USER Please explain why anti any gun control desantis would somehow hold people accountable ?	NOT	@USER @USER Please explain why anti any gun control desantis would somehow hold people accountable?
#RebekahismOfTheDay #WednesdayWisdom Liberals : There is no such thing as gender . " Me : " Really ? Then tell me more about the wage gap . ""	NOT	#RebekahismOfTheDay #WednesdayWisdom  Liberals: There is no such thing as gender."  Me: "Really? Then tell me more about the wage gap.""
@USER Do not think so maybe do a little research buddy !	OFF	@USER Do not think so maybe do a little research buddy!
@USER Are you sure she was't just thinking about herself .	NOT	@USER Are you sure she was't just thinking about herself.
@USER Because she “ is a woman ?? ” . Uh .. wasn’t her opponent a woman ... not getting your ill formed point here .	NOT	@USER Because she “is a woman??”. Uh..wasn’t her opponent a woman...not getting your ill formed point here.
@USER He is vile .	NOT	@USER He is vile.
@USER @USER Truly . Anything to avoid gun control .	NOT	@USER @USER Truly. Anything to avoid gun control.
@USER @USER You are the In educated twat ! That speed crap and can’t read obviously🤒 !	OFF	@USER @USER You are the In educated twat! That speed crap and can’t read obviously🤒!
@USER You act like that won't be fun for both of us . " She contemplates getting down , he's been gone for a few minutes and she's just standing on a chair like a weirdo . Just as she is about to get down she sees him walk through the door . " Technically I only thought about it . ""	NOT	@USER You act like that won't be fun for both of us."  She contemplates getting down, he's been gone for a few minutes and she's just standing on a chair like a weirdo.   Just as she is about to get down she sees him walk through the door.   "Technically I only thought about it.""
@USER Im only there for the meltdown URL	NOT	@USER Im only there for the meltdown URL
@USER I am a free speech absolutist and I do not care what offends you . You don't have to talk to me . Why do you imagine the world is supposed to be unoffensive ? Do you carry this forward with other liberals and chastise them for saying things that offend Christians ?	NOT	@USER I am a free speech absolutist and I do not care what offends you. You don't have to talk to me.    Why do you imagine the world is supposed to be unoffensive?  Do you carry this forward with other liberals and chastise them for saying things that offend Christians?
@USER ! maybe she was fucking hungry !!! No one knows what kind of home life she has ! My goodness she is a child and this officer could have handled this better . Sorry he needs to be fired	OFF	@USER !maybe she was fucking hungry!!! No one knows what kind of home life she has! My goodness  she is a child and this officer could have handled this better. Sorry he needs to be fired
@USER Holder should've been removed and jailed years ago .	OFF	@USER Holder should've been removed and jailed years ago.
@USER I am drunk and listening to Wings . More fun than the Emmys for me ?? Keep writing . You are the new Ebert . No pressure ;)	NOT	@USER I am drunk and listening to Wings. More fun than the Emmys for me?? Keep writing. You are the new Ebert. No pressure  ;)
@USER @USER @USER @USER @USER @USER Deserved better	NOT	@USER @USER @USER @USER @USER @USER Deserved better
@USER You are such a fucking pu$$y little chinless Donny .	OFF	@USER You are such a fucking pu$$y little chinless Donny.
@USER @USER @USER One day you are gonna be an expert mate 😻 👍 😹	NOT	@USER @USER @USER One day you are gonna be an expert mate  😻  👍  😹
@USER Yay !! So happy she is well hehe .	NOT	@USER Yay!! So happy she is well hehe.
@USER As a member of antifa ? ;)	NOT	@USER As a member of antifa? ;)
6 people are dead after shooting spree in California .... AND LORD FORBID WE SHOULD TALK ABOUT COMMON SENSE GUN CONTROL MEASURES ... OH NO !!! 😱 😱 😱 😱	NOT	6 people are dead after shooting spree in California ....AND LORD FORBID WE SHOULD TALK ABOUT COMMON SENSE GUN CONTROL MEASURES...OH NO!!!  😱  😱  😱  😱
@USER FOLLOW THE MONEY 💰	NOT	@USER FOLLOW THE MONEY 💰
@USER But you are Dreg of society !!	NOT	@USER But you are Dreg of society!!
@USER Get Violent ? Get ? As if the #Occupy #BlackLivesMatter #BaltimoreRiots #Ferguson #Antifa weren't all Democrat VIOLENCE	OFF	@USER Get Violent?  Get?  As if the #Occupy #BlackLivesMatter #BaltimoreRiots #Ferguson #Antifa weren't all Democrat VIOLENCE
+++ I can't prove causation either but while the CONservatives in CDA surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎(¬ @USER bashing PM @USER can't help but think they're also egging the former to continue the bashing to boost their fortune(s ) vainly . URL	NOT	+++ I can't prove causation either but while the CONservatives in CDA surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎(¬@USER bashing PM @USER can't help but think they're also egging the former to continue the bashing to boost their fortune(s) vainly. URL
10 . New Gun Control Laws 11 . Term Limits 12 . Eliminate lifetime salaries for politicians 13 . Same medical benefits as any other Federal Employee 14 . Federal Holiday on Election Days 15 . A review of Presidential powers of pardon	NOT	10. New Gun Control Laws 11. Term Limits 12. Eliminate lifetime salaries for politicians 13. Same medical benefits as any other Federal Employee 14. Federal Holiday on Election Days 15. A review of Presidential powers of pardon
@USER This is one of the soros contacts for antifa activists URL	NOT	@USER This is one of the soros contacts for antifa activists URL
@USER Amy Barrett ... come on down ... U R the next contestant on the ... and the liberals start looking 4 boyfriends she tried 2 rape !	NOT	@USER Amy Barrett... come on down... U R the next contestant on the... and the liberals start looking 4 boyfriends she tried 2 rape!
@USER Hahaha the goofball is losing money and is still to dumb to know why ..	OFF	@USER Hahaha the goofball is losing money and is still to dumb to know why..
@USER @USER @USER She is absolutely useless . Everyone knows it except for her and the media .	OFF	@USER @USER @USER She is absolutely useless. Everyone knows it except for her and the media.
@USER @USER Democrats would love to see mob rule . " That's why they like Antifa . "	NOT	@USER @USER Democrats would love to see mob rule." That's why they like Antifa."
@USER True Liberals do	NOT	@USER True Liberals do
@USER @USER Juan Williams just called Diamond and Silk a Minstrel Show . You know what to do !	NOT	@USER @USER  Juan Williams just called Diamond and Silk a  Minstrel Show. You know what to do!
@USER @USER Why because Ford accused him of something 36 years ago and won’t testify . Liberals he’d this for months and came out now . I think liberals are the ones who took a gamble	NOT	@USER @USER Why because Ford accused him of something 36 years ago and won’t testify. Liberals he’d this for months and came out now. I think liberals are the ones who took a gamble
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Well then ... Let's kick the tires and light the fires ! #MAGA #wwg1wga #KAG #LiberalismIsAMentalDisorder URL	NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Well then ... Let's kick the tires and light the fires!  #MAGA #wwg1wga #KAG   #LiberalismIsAMentalDisorder URL
@USER you are very generous . <3	NOT	@USER you are very generous. &lt;3
@USER Exactly so shut up	OFF	@USER Exactly so shut up
@USER @USER Who authorized a search warrant of mr Jean home ? Racist what about her drug test . This is premediated murder . He will not be slandered . He is the victim .	OFF	@USER @USER Who authorized a search warrant of mr Jean home?  Racist what about her drug test. This is premediated murder. He will not be slandered. He is the victim.
@USER @USER @USER @USER @USER @USER @USER @USER Fair point - let me restate : ( many ) liberals * tend * towards using evidence of prejudice and discrimination as a justification for treating distinction between citizens and migrants as arbitrary .	NOT	@USER @USER @USER @USER @USER @USER @USER @USER Fair point - let me restate: (many) liberals *tend* towards using evidence of prejudice and discrimination as a justification for treating distinction between citizens and migrants as arbitrary.
@USER Cant wait for 2020 !!.. @USER URL	NOT	@USER Cant wait for 2020!!..@USER URL
@USER Don't think she did much to accomplish that goal !	NOT	@USER Don't think she did much to accomplish that goal!
. @USER Please commit to a people's vote on Brexit . The Conservatives have made a pig's ear of it .	NOT	.@USER Please commit to a people's vote on Brexit. The Conservatives have made a pig's ear of it.
@USER @USER @USER @USER @USER @USER ROFL , that is real data . Any argument you make now , I can flip it and say Oh an Anti-Trump flunkie " quit being retarded . FYI , Gun Control doesn't work . England banned firearms and their violent crime stats skyrocketed . Criminals benefit the most from gun control "	NOT	@USER @USER @USER @USER @USER @USER ROFL, that is real data.  Any argument you make now, I can flip it and say Oh an Anti-Trump flunkie"  quit being retarded.  FYI, Gun Control doesn't work.  England banned firearms and their violent crime stats skyrocketed.  Criminals benefit the most from gun control"
@USER Battle of the hags !	NOT	@USER Battle of the hags!
@USER @USER As Fat as he is President Trump will be the last President Moore Ever See's	NOT	@USER @USER As Fat as he is President Trump will be the last President Moore Ever See's
@USER Not if you are from Wisconsin . And it’s a bubbler . And duck duck goose .	OFF	@USER Not if you are from Wisconsin. And it’s a bubbler. And duck duck goose.
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Too bad the 🤡 are funding it or it would tank by economic law .	NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Too bad the 🤡 are funding it or it would tank by economic law.
@USER I have you and Kaze- I need more .	OFF	@USER I have you and Kaze- I need more.
@USER Yes she is !	NOT	@USER Yes she is!
ANGELINA IS SO FUNNY AT RHE WRONG TIMES IMNGONNA SHOOT THIS BITCH UPPDOALS	NOT	ANGELINA IS SO FUNNY AT RHE WRONG TIMES IMNGONNA SHOOT THIS BITCH UPPDOALS
@USER @USER @USER @USER Okay that's enough with the A and C shit . They dont care and neither should we .	OFF	@USER @USER @USER @USER Okay that's enough with the A and C shit. They dont care and neither should we.
@USER You turn a dull Tuesday night into a super sexy one ! So hot ! 🔥 🔥 🔥	OFF	@USER You turn a dull Tuesday night into a super sexy one! So hot!  🔥  🔥  🔥
( 2 ) if you are not registered to vote . Go and register . You can also do same day registration in Connecticut if you cannot before November 6 .	NOT	(2) if you are not registered to vote. Go and register. You can also do same day registration in Connecticut if you cannot before November 6.
@USER @USER @USER @USER Brexiters are prepared that the party and the country pay the price . The gold is for them . They want to keep offshore tax havens which is in the individuals interests ! Why else would they knowingly ruin a nation and its people .	NOT	@USER @USER @USER @USER Brexiters are prepared that the party and the country pay the price. The gold is for them. They want to keep offshore tax havens which is in the individuals interests! Why else would they knowingly ruin a nation and its people.
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You stated the 1994 AWB was constitutional . I asked you to provide the SCOTUS case . The response about the alleged support for gun control to that is a complete non sequitur .	NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You stated the 1994 AWB was constitutional. I asked you to provide the SCOTUS case.   The response about the alleged support for gun control to that is a complete non sequitur.
@USER And that's when you say : Well I wanted to take care of you , but if you're going to make that impossible , I guess you are on your own . I think I'll have a steak . ""	NOT	@USER And that's when you say:  Well I wanted to take care of you, but if you're going to make that impossible, I guess you are on your own.  I think I'll have a steak.""
@USER There is a rumbling that's starting to bubble . Dems aren't listening . They're barrelling on . Mistake . Dems seriously need to stop and listen . There is a rage building like I've never seen . The silence of Conservatives and Republicans is becoming deafening . Dems need to listen .	NOT	@USER There is a rumbling that's starting to bubble. Dems aren't listening . They're  barrelling on. Mistake. Dems seriously need to stop and listen. There is a rage building like I've never seen. The silence of Conservatives and Republicans is becoming deafening. Dems need to listen.
